category,name,url,description,nested
Front-End Development,Seed,https://github.com/seed-rs/awesome-seed-rs#readme,Rust framework for creating web apps running in WebAssembly.,false
Front-End Development,Web Performance Budget,https://github.com/pajaydev/awesome-web-performance-budget#readme,Techniques to ensure certain performance metrics for a website.,false
Front-End Development,Web Animation,https://github.com/sergey-pimenov/awesome-web-animation#readme,"Animations in the browser with JavaScript, CSS, SVG, etc.",false
Front-End Development,Yew,https://github.com/jetli/awesome-yew#readme,Rust framework inspired by Elm and React for creating multi-threaded frontend web apps with WebAssembly.,false
Front-End Development,Material-UI,https://github.com/nadunindunil/awesome-material-ui#readme,Material Design React components for faster and easier web development.,false
Front-End Development,Building Blocks for Web Apps,https://github.com/componently-com/awesome-building-blocks-for-web-apps#readme,Standalone features to be integrated into web apps.,false
Front-End Development,Svelte,https://github.com/TheComputerM/awesome-svelte#readme,App framework.,false
Front-End Development,Design systems,https://github.com/klaufel/awesome-design-systems#readme,"Collection of reusable components, guided by rules that ensure consistency and speed.",false
Front-End Development,Inertia.js,https://github.com/innocenzi/awesome-inertiajs#readme,Make single-page apps without building an API.,false
Front-End Development,MDBootstrap,https://github.com/mdbootstrap/awesome-mdbootstrap#readme,"Templates, layouts, components, and widgets to rapidly build websites.",false
Front-End Development,Master CSS,https://github.com/master-co/awesome-master-css#readme,A virtual CSS language with enhanced syntax.,false
Front-End Development,Hydrogen,https://github.com/shopify/awesome-hydrogen#readme,Edge-first framework for building Shopify storefronts with React.,false
Front-End Development,Tiny JS,https://github.com/thoughtspile/awesome-tiny-js#readme,Frontend libraries that fit into 2 kB with dependencies.,false
Front-End Development,Frontend GIS,https://github.com/joewdavies/awesome-frontend-gis#readme,Geographic Information Systems (GIS) for web browsers.,false
Front-End Development,WebGPU,https://github.com/mikbry/awesome-webgpu#readme,JavaScript API for rendering and compute on GPUs.,false
Front-End Development,WebAssembly,https://github.com/idematos/awesome-webassembly#readme,A portable binary format for running code efficiently across platforms.,false
Back-End Development,Flask,https://github.com/mjhea0/awesome-flask#readme,Python framework.,false
Back-End Development,Docker,https://github.com/veggiemonk/awesome-docker#readme,,false
Back-End Development,Vagrant,https://github.com/iJackUA/awesome-vagrant#readme,Automation virtual machine environment.,false
Back-End Development,Pyramid,https://github.com/uralbash/awesome-pyramid#readme,Python framework.,false
Back-End Development,Play1 Framework,https://github.com/PerfectCarl/awesome-play1#readme,,false
Back-End Development,CakePHP,https://github.com/friendsofcake/awesome-cakephp#readme,PHP framework.,false
Back-End Development,Symfony,https://github.com/sitepoint-editors/awesome-symfony#readme,PHP framework.,false
Back-End Development,Education,https://github.com/pehapkari/awesome-symfony-education#readme,,true
Back-End Development,Laravel,https://github.com/chiraggude/awesome-laravel#readme,PHP framework.,false
Back-End Development,Education,https://github.com/fukuball/Awesome-Laravel-Education#readme,,true
Back-End Development,Rails,https://github.com/gramantin/awesome-rails#readme,Web app framework for Ruby.,false
Back-End Development,Gems,https://github.com/hothero/awesome-rails-gem#readme,Packages.,true
Back-End Development,Phalcon,https://github.com/phalcon/awesome-phalcon#readme,PHP framework.,false
Back-End Development,Useful `.htaccess` Snippets,https://github.com/phanan/htaccess#readme,,false
Back-End Development,nginx,https://github.com/fcambus/nginx-resources#readme,Web server.,false
Back-End Development,Dropwizard,https://github.com/stve/awesome-dropwizard#readme,Java framework.,false
Back-End Development,Kubernetes,https://github.com/ramitsurana/awesome-kubernetes#readme,Open-source platform that automates Linux container operations.,false
Back-End Development,Lumen,https://github.com/unicodeveloper/awesome-lumen#readme,PHP micro-framework.,false
Back-End Development,Serverless Framework,https://github.com/pmuens/awesome-serverless#readme,Serverless computing and serverless architectures.,false
Back-End Development,Apache Wicket,https://github.com/PhantomYdn/awesome-wicket#readme,Java web app framework.,false
Back-End Development,Vert.x,https://github.com/vert-x3/vertx-awesome#readme,Toolkit for building reactive apps on the JVM.,false
Back-End Development,Terraform,https://github.com/shuaibiyy/awesome-terraform#readme,"Tool for building, changing, and versioning infrastructure.",false
Back-End Development,Vapor,https://github.com/vapor-community/awesome-vapor#readme,Server-side development in Swift.,false
Back-End Development,Dash,https://github.com/ucg8j/awesome-dash#readme,Python web app framework.,false
Back-End Development,FastAPI,https://github.com/mjhea0/awesome-fastapi#readme,Python web app framework.,false
Back-End Development,CDK,https://github.com/kolomied/awesome-cdk#readme,Open-source software development framework for defining cloud infrastructure in code.,false
Back-End Development,IAM,https://github.com/kdeldycke/awesome-iam#readme,"User accounts, authentication and authorization.",false
Back-End Development,Slim,https://github.com/nekofar/awesome-slim#readme,PHP framework.,false
Back-End Development,Fiber,https://github.com/gofiber/awesome-fiber#readme,"Web framework built on top of Fasthttp, the fastest HTTP engine for Go.",false
Back-End Development,Kustomize,https://github.com/DevOpsHiveHQ/awesome-kustomize#readme,Kubernetes native declarative configuration management tool.,false
Back-End Development,OpenTofu,https://github.com/virtualroot/awesome-opentofu#readme,Open-source infrastructure as code tool.,false
Back-End Development,Reflex,https://github.com/reflex-dev/awesome-reflex#readme,Python web framework for building both your frontend and backend with no JavaScript.,false
Computer Science,University Courses,https://github.com/prakhar1989/awesome-courses#readme,,false
Computer Science,Data Science,https://github.com/academic/awesome-datascience#readme,,false
Computer Science,Tutorials,https://github.com/siboehm/awesome-learn-datascience#readme,,true
Computer Science,Machine Learning,https://github.com/josephmisiti/awesome-machine-learning#readme,,false
Computer Science,Tutorials,https://github.com/ujjwalkarn/Machine-Learning-Tutorials#readme,,true
Computer Science,ML with Ruby,https://github.com/arbox/machine-learning-with-ruby#readme,"Learning, implementing, and applying Machine Learning using Ruby.",true
Computer Science,Core ML Models,https://github.com/likedan/Awesome-CoreML-Models#readme,Models for Apple's machine learning framework.,true
Computer Science,H2O,https://github.com/h2oai/awesome-h2o#readme,"Open source distributed machine learning platform written in Java with APIs in R, Python, and Scala.",true
Computer Science,Software Engineering for Machine Learning,https://github.com/SE-ML/awesome-seml#readme,From experiment to production-level machine learning.,true
Computer Science,AI in Finance,https://github.com/georgezouq/awesome-ai-in-finance#readme,Solving problems in finance with machine learning.,true
Computer Science,JAX,https://github.com/n2cholas/awesome-jax#readme,Automatic differentiation and XLA compilation brought together for high-performance machine learning research.,true
Computer Science,XAI,https://github.com/altamiracorp/awesome-xai#readme,"Providing insight, explanations, and interpretability to machine learning methods.",true
Computer Science,Speech and Natural Language Processing,https://github.com/edobashira/speech-language-processing#readme,,false
Computer Science,Spanish,https://github.com/dav009/awesome-spanish-nlp#readme,,true
Computer Science,NLP with Ruby,https://github.com/arbox/nlp-with-ruby#readme,,true
Computer Science,Question Answering,https://github.com/seriousran/awesome-qa#readme,The science of asking and answering in natural language with a machine.,true
Computer Science,Natural Language Generation,https://github.com/accelerated-text/awesome-nlg#readme,"Generation of text used in data-to-text, conversational agents, and narrative generation applications.",true
Computer Science,Linguistics,https://github.com/theimpossibleastronaut/awesome-linguistics#readme,,false
Computer Science,Cryptography,https://github.com/sobolevn/awesome-cryptography#readme,,false
Computer Science,Papers,https://github.com/pFarb/awesome-crypto-papers#readme,Theory basics for using cryptography by non-cryptographers.,true
Computer Science,Computer Vision,https://github.com/jbhuang0604/awesome-computer-vision#readme,,false
Computer Science,Deep Learning,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Neural networks.,false
Computer Science,TensorFlow,https://github.com/jtoy/awesome-tensorflow#readme,Library for machine intelligence.,true
Computer Science,TensorFlow.js,https://github.com/aaronhma/awesome-tensorflow-js#readme,WebGL-accelerated machine learning JavaScript library for training and deploying models.,true
Computer Science,TensorFlow Lite,https://github.com/margaretmz/awesome-tensorflow-lite#readme,Framework that optimizes TensorFlow models for on-device machine learning.,true
Computer Science,Papers,https://github.com/terryum/awesome-deep-learning-papers#readme,The most cited deep learning papers.,true
Computer Science,Education,https://github.com/guillaume-chevalier/awesome-deep-learning-resources#readme,,true
Computer Science,Deep Vision,https://github.com/kjw0612/awesome-deep-vision#readme,,false
